text,category
"Subject: Critical security alert for your linked account Body: A new device signed into your Google Account from a new device in Mountain View, CA. If this wasn't you, please secure your account immediately.",security
"Subject: Your subscription to CloudService Pro is expiring soon Body: Your monthly subscription will automatically renew for $49.99 in 3 days. To manage your subscription, please visit your account settings.",billing
"Subject: Action Required: Project Phoenix Sprint Planning Body: Team, please provide your input on the sprint goals for the upcoming cycle by EOD tomorrow. The planning document is attached.",work
"Subject: � 50% Off Flash Sale - Today Only! 🎉 Body: Don't miss out on our biggest sale of the year! Get 50% off on all items for the next 24 hours. Use code FLASH50 at checkout.",promotion
"Subject: This Week in AI: GPT-5 Rumors and New Open Source Models Body: Explore the latest developments in artificial intelligence, including breakthroughs in large language models and new open-source alternatives from top research labs.",newsletter
"Subject: Suspicious login attempt blocked from Germany Body: We prevented a suspicious sign-in to your account from an unrecognized device. No action is needed on your part, but we recommend reviewing your recent activity.",security
"Subject: Your invoice #INV-2024-8812 is now available Body: Dear user, your monthly invoice for the amount of $25.00 is ready. Please log in to your account to view and pay. Thank you for your business.",billing
"Subject: Invitation: Q3 Financial Review @ Wednesday 4pm Body: You have been invited to the quarterly financial review meeting. Please find the agenda and presentation attached. Be prepared to discuss departmental budgets.",work
"Subject: Black Friday Deals are HERE! Body: Get up to 70% off on electronics, home goods, and more. Our Black Friday sale ends this Sunday! Shop now for the best selection.",promotion
"Subject: The AI Innovator's Newsletter - June Edition Body: This month, we dive deep into generative video models and their impact on the creative industry. Includes interviews with leading experts.",newsletter
"Subject: Your password has been successfully changed Body: This is a confirmation that the password for your account was updated on August 18, 2025. If you did not make this change, please contact support immediately.",security
"Subject: Payment failed for your subscription to DataStream Body: We were unable to process the payment for your monthly subscription. Please update your payment information to avoid service interruption.",billing
"Subject: [URGENT] Server Maintenance Notification for Saturday Body: Please be advised that we will be performing scheduled maintenance on our servers this Saturday from 2 AM to 4 AM UTC. Services may be temporarily unavailable.",work
"Subject: Don't miss our new product launch! Body: Introducing the new SmartWidget 5000. Be the first to experience the future of home automation. Pre-order now for a 10% discount.",promotion
"Subject: The Weekly Developer Digest - Issue #142 Body: A roundup of the best articles, tutorials, and open-source projects for developers this week.",newsletter
"Subject: Two-Factor Authentication (2FA) has been enabled Body: You have successfully enabled 2FA on your account, adding an extra layer of security.",security
"Subject: Your payment for order #9876 was successful Body: Thank you for your purchase! We've received your payment for $129.50 and your order is now being processed. You'll receive a shipping notification soon.",billing
"Subject: A document was shared with you: 'Project Alpha - Final Report' Body: Jane Doe has shared a document with you. Open it to view and collaborate.",work
"Subject: Your cart is waiting for you... Body: You left some great items in your cart. Complete your purchase before they're gone! We've saved them for you.",promotion
"Subject: The Finance Forward Newsletter - Market Trends Body: This week's issue covers the latest market trends, analysis of recent IPOs, and insights into the global economy.",newsletter
"Subject: Security Alert: New sign-in from a device in London, UK Body: Your account was just accessed from a Chrome browser on a Windows device. If this was not you, please secure your account now.",security
"Subject: Your refund of $49.99 has been processed Body: We have successfully processed a refund to your original payment method. It may take 5-7 business days to appear on your statement.",billing
"Subject: Reminder: Team Stand-up at 10 AM Body: This is a reminder for our daily team stand-up meeting. Please be prepared to share your updates.",work
"Subject: Last Chance: 25% off ends tonight! Body: Our special offer is about to expire. Use code LASTCHANCE25 to get 25% off your entire order before midnight.",promotion
"Subject: Quantum Computing Weekly - Issue #56 Body: Exploring the latest breakthroughs in quantum algorithms and hardware developments from around the world.",newsletter
"Subject: Your account password will expire in 5 days Body: For your security, your password is set to expire soon. Please update your password to maintain access to your account.",security
"Subject: Invoice #INV-2025-1034 is due today Body: This is a friendly reminder that your payment of $75.00 is due today. You can pay online through our secure portal.",billing
"Subject: Project Titan - Kick-off meeting tomorrow Body: The kick-off meeting for Project Titan is scheduled for tomorrow at 9:00 AM. The meeting link and agenda are included in the calendar invite.",work
"Subject: Summer Sale Starts Now! Body: Beat the heat with our sizzling summer deals. Get up to 60% off on select items for a limited time.",promotion
"Subject: This Week in Space: Webb Telescope's New Discoveries Body: A look at the stunning new images and data from the James Webb Space Telescope, revealing secrets of the early universe.",newsletter
"Subject: Security code for password reset request Body: Your security code is 843159. If you did not request a password reset, please ignore this email and contact support.",security
"Subject: Your annual subscription has been renewed Body: Thank you for your continued business. Your annual subscription to AnalyticsSuite has been successfully renewed for $299.00.",billing
"Subject: Updated: Project Dragon Timeline Body: Please review the attached updated timeline for Project Dragon. Key milestone dates have been adjusted.",work
"Subject: Exclusive Offer for VIP Members Body: As a valued VIP member, enjoy an exclusive 30% discount on all new arrivals. This offer is not available to the public.",promotion
"Subject: The Health & Wellness Digest - July 2025 Body: This month's edition features articles on mindful eating, the benefits of high-intensity interval training, and tips for better sleep.",newsletter
"Subject: Unusual sign-in activity detected on your account Body: We detected a sign-in from an unusual location (Tokyo, Japan). We have temporarily locked your account for your protection. Please verify your identity to unlock it.",security
"Subject: Your statement for July 2025 is ready Body: Your monthly account statement is now available to view or download from your dashboard.",billing
"Subject: Feedback requested on Q3 Marketing Campaign Draft Body: The marketing team has shared the draft for the Q3 campaign. Please provide your feedback by Friday.",work
"Subject: Your free trial is ending in 3 days Body: Don't lose access to our premium features. Upgrade your account now to continue enjoying the full experience.",promotion
"Subject: The History Chronicle - The Roman Empire Body: A deep dive into the rise and fall of the Roman Empire, exploring its political, military, and cultural impact on the world.",newsletter
"Subject: Your API key was recently used Body: This is a notification that your API key 'sk-...' was used to make a request from IP address 192.168.1.10. No action is required if this was you.",security
"Subject: Credit Card Payment Confirmation for Invoice #INV-2025-4512 Body: We have received your payment of $150.00. Thank you for your prompt payment.",billing
"Subject: Out of Office: John Smith Body: I will be out of the office from August 19th to August 25th with limited access to email. For urgent matters, please contact Jane Doe.",work
"Subject: A special gift for your birthday! Body: Happy Birthday! As a small gift, here is a $10 coupon to use on your next purchase. We hope you have a great day!",promotion
"Subject: The Crypto Current - Bitcoin Halving Analysis Body: An in-depth analysis of the upcoming Bitcoin halving event and its potential impact on the cryptocurrency market.",newsletter
"Subject: Security review of your connected apps Body: We recommend you periodically review the third-party applications that have access to your account. You can manage permissions in your security settings.",security
"Subject: Automatic payment for your utility bill was successful Body: Your scheduled payment of $85.50 to City Utilities has been processed successfully.",billing
"Subject: Please approve this expense report Body: An expense report for the recent client visit has been submitted for your approval. Please review and approve at your earliest convenience.",work
"Subject: We miss you! Here's 20% off to come back Body: It's been a while since we've seen you. Here is a special discount to welcome you back.",promotion
"Subject: The Future of Robotics Newsletter Body: This issue explores advancements in soft robotics, autonomous drones, and their applications in logistics and healthcare.",newsletter
"Subject: Your email address was added to a new account Body: This email address was used to create an account on ExampleService. If this was not you, please click here to remove it.",security
"Subject: Your subscription plan has been upgraded Body: As requested, your plan has been upgraded to the Premium Tier for $99.99/month. Your new features are now active.",billing
"Subject: Welcome to the company! Body: On behalf of the entire team, I'd like to extend a warm welcome. We are excited to have you with us and look forward to your contributions.",work
"Subject: Your abandoned cart is about to expire Body: The items in your shopping cart are reserved for a limited time. Complete your order now before they sell out!",promotion
"Subject: This Week in Science: A New Exoplanet Discovery Body: Astronomers have discovered a new Earth-like exoplanet orbiting a nearby star, potentially capable of supporting life.",newsletter
"Subject: A new browser has been authorized for your account Body: A new Firefox browser on macOS was authorized to access your account. You can revoke access at any time in your settings.",security
"Subject: Your monthly donation has been processed Body: Thank you for your recurring donation of $20.00 to the Wildlife Conservation Fund. Your support makes a difference.",billing
"Subject: Required Training: Annual Security Awareness Body: All employees are required to complete the annual security awareness training by September 30th. Please access the course through the employee portal.",work
"Subject: You're invited to our exclusive webinar Body: Join our webinar on 'The Future of E-commerce' and learn from industry experts about the latest trends and strategies.",promotion
"Subject: The Art of Photography Weekly Body: This week's feature showcases stunning landscape photography from the Scottish Highlands and tips for long-exposure shots.",newsletter
"Subject: Your phone number was added to your account Body: A new phone number ending in 1234 has been added to your account for recovery and notifications.",security
"Subject: Your account credit of $15.00 has been applied Body: A credit of $15.00 from your recent return has been applied to your account. It will be automatically used on your next purchase.",billing
"Subject: Brainstorming Session for 'Project Nova' Body: Let's get together for a brainstorming session for the new 'Project Nova' initiative. Please come with your creative ideas.",work
"Subject: Happy Anniversary! Here's a gift from us. Body: To celebrate your one-year anniversary as a customer, we're giving you free shipping on your next order.",promotion
"Subject: The Stoic Mind Newsletter - On Virtue Body: A philosophical exploration of the Stoic concept of virtue and how it can be applied to modern life for greater tranquility and resilience.",newsletter
"Subject: Password for your account has been changed from a new location Body: The password for your account was changed from a device in Austin, TX. If this was not you, please secure your account immediately.",security
"Subject: Your recent payment of $55.00 is being processed Body: We have received your payment, and it is currently being processed. You will receive a confirmation once it is complete.",billing
"Subject: Action Item Follow-up: Q2 Report Body: This is a follow-up on the action item to complete the Q2 performance report. The deadline is this Friday.",work
"Subject: Our new collection has arrived! Body: Be the first to see our new fall collection. Fresh styles, new colors, and the quality you love.",promotion
"Subject: The Cybersecurity Brief: New Phishing Scam Alert Body: A new sophisticated phishing scam targeting online banking users is on the rise. Learn how to spot the signs and protect yourself.",newsletter
"Subject: A new SSH key was added to your account Body: A new public SSH key was added to your account for Git access. If you did not add this key, you should remove it and rotate your credentials immediately.",security
"Subject: Your trial for Premium Features ends tomorrow Body: Your 14-day free trial will end tomorrow. Upgrade now to keep access to all our premium tools and features without interruption.",billing
"Subject: Meeting Canceled: Project Update Body: The project update meeting scheduled for this afternoon has been canceled. A new time will be scheduled shortly.",work
"Subject: It's your last day for free shipping! Body: Don't wait! Today is the final day to get free shipping on all orders. No minimum purchase required.",promotion
"Subject: The Daily Sketch - Architectural Wonders Body: A daily dose of inspiration featuring breathtaking architectural designs from around the globe, from ancient temples to modern skyscrapers.",newsletter
"Subject: Your account has been locked due to multiple failed login attempts Body: For your security, we have temporarily locked your account after several unsuccessful login attempts. Please reset your password to regain access.",security
"Subject: Your order #C12-98765 has been shipped! Body: Good news! Your order is on its way. You can track your package using the tracking number provided in this email.",billing
"Subject: Performance Review - Self-Assessment Reminder Body: This is a reminder to complete your self-assessment form for the upcoming performance review cycle. The deadline for submission is next Monday.",work
"Subject: We've noticed you're a fan... Body: We saw you were looking at our new line of smartwatches. Here's a special 15% discount just for you to help you make up your mind.",promotion
"Subject: The Philosophy Corner - Existentialism Explained Body: A beginner's guide to the core tenets of existentialism, from Kierkegaard to Sartre, and its relevance in the 21st century.",newsletter
"Subject: Security alert: Your email settings were changed Body: The forwarding settings for your email account were modified. If you did not make this change, please revert it and change your password.",security
"Subject: Your refund request has been received Body: We have received your request for a refund for order #R-54321. We will review it and notify you of the outcome within 3-5 business days.",billing
"Subject: Please Welcome Our New Team Member! Body: Please join me in welcoming Sarah Johnson to the marketing team. She will be starting on Monday as our new Digital Marketing Specialist.",work
"Subject: Are you still interested? Price drop alert! Body: Good news! An item you viewed, the 'Wireless Noise-Cancelling Headphones', has just dropped in price.",promotion
"Subject: The Woodworker's Journal - Dovetail Joint Techniques Body: A detailed tutorial on how to master the classic dovetail joint, including tips and tricks for a perfect fit.",newsletter
"Subject: New login from Chrome on Windows near New York, NY Body: We noticed a new sign-in to your account. If this was you, you can ignore this message. If not, please take steps to secure your account.",security
"Subject: Your monthly subscription for 'Code Editor Pro' has been renewed Body: Your subscription has been successfully renewed for $15.00. You can access your latest invoice from your account dashboard.",billing
"Subject: Office Closure for National Holiday Body: Please be reminded that the office will be closed this coming Monday in observance of the national holiday. Normal business hours will resume on Tuesday.",work
"Subject: You left something in your basket! Body: Don't let it get away! The items in your shopping basket are popular and might sell out soon. Return to your cart to complete your order.",promotion
"Subject: The Green Thumb: A Guide to Indoor Gardening Body: This week's newsletter provides a comprehensive guide for beginners on how to start and maintain a thriving indoor garden.",newsletter
